id,name,rating,review_count,amazon_url
23,Strength Ball Grip and Fidgets,4.4,700,https://www.amazon.com/dp/B0C9XXJJSZ
24,Stress Ball,4.6,8307,https://www.amazon.com/dp/B01N1Q7X78
25,Squishy Stimulation Banana,3.9,235,https://www.amazon.com/dp/B0DYLVMK72
26,Under Armour Boys HeatGear Compression Sleeve,4.4,94,https://www.amazon.com/dp/B07QLNLNYK
27,Under Armour Girls HeatGear Compression Sleeve,4.4,60,https://www.amazon.com/dp/B08LMBKTD8
28,Grabber Reacher Tool,4.5,2444,https://www.amazon.com/dp/B0FRDLYV9S
29,Hand Bike for Strengthening Muscles,4.5,582,https://www.amazon.com/dp/B0H6RW1J68
30,Adaptive Eating Utensils (Set of 4),4.5,1652,https://www.amazon.com/dp/B0C5CYGZDY
32,Sock Aid,4.5,42335,https://www.amazon.com/dp/B00U9TWCXU
33,Dressing Stick,4.4,1063,https://www.amazon.com/dp/B0CCJZQ3WC
34,CanDo Premium Foam Roller (Round),4.5,123,https://www.amazon.com/dp/B001VAKCBA
38,Thermal hand gloves,4.3,45056,https://www.amazon.com/dp/B07WRB9N3J
39,Shoulder Ice Pack Wrap,4.4,1750,https://www.amazon.com/dp/B0CMJMB9J2
40,Leg Knee Ice Pack Wrap,4.2,769,https://www.amazon.com/dp/B0CL23QJMN
41,(Knee-Black-2 Pack) Extended Leg/Knee Ice Pack Wrap for Injuries Compression Gel Freeze Knees Brace for Swelling Compress Therapy for Arthritis,4.4,4409,https://www.amazon.com/dp/B0CPJ3NJFJ
42,"Knee Brace for Meniscus Tear 2 Pack,",4.4,26,https://www.amazon.com/dp/B0DTLH77BD
43,Knee/Elbow/Ankle/Calf - Flexible Cold Ice Pack Wrap Compression Sleeve,4.5,5325,https://www.amazon.com/dp/B0D94TCDFN
44,Ice Cold Pack Reusable Ice Bags Hot Water Bag,4.6,15922,https://www.amazon.com/dp/B09NR248K1
45,Foam Toothpaste For Sensitive Kids,4.0,1,https://www.amazon.com/dp/B0GQNMLL16
46,U-Shaped Toothbrush for Form Toothpaste Ages Kids 2+,4.1,2112,https://www.amazon.com/dp/B09QJ34BKT
47,Sensory Swing for Kids with Special Needs,4.6,153,https://www.amazon.com/dp/B09PHDD27M
48,"Kids Pod Swing Seat, Hanging Hammock",4.4,3696,https://www.amazon.com/dp/B08PBKD5FX
49,Peanut Shaped Bounce Sensory Ball,4.6,63,https://www.amazon.com/dp/B0H37V75JZ
50,Bouncy Bands for Student Desks,4.5,1171,https://www.amazon.com/dp/B01DKU4020
51,Sensory Cushion for Kids,4.5,376,https://www.amazon.com/dp/B07RG7S69B
53,Anti-Burst Sensory Ball,4.4,2925,https://www.amazon.com/dp/B0D16Y8CZ5
54,Anti-Burst Fitness Equipment for Sensory Needs,4.4,2006,https://www.amazon.com/dp/B095CSJXF2
55,"Donut Ball Exercise Ball for Sensory, Balance,& Stability Training",4.4,34,https://www.amazon.com/dp/B09TTRJX6P
56,Self-Regulation Creativity for Kids Sensory Bin: Ice Cream Kinetic Play Sand,4.6,429,https://www.amazon.com/dp/B0C85VHRLG
57,Mini Magnetic Tiles,4.7,211,https://www.amazon.com/dp/B0FH4XJZ2F
58,Magnet Building Tiles Clear Magnetic 3D Blocks,4.8,308,https://www.amazon.com/dp/B01KGR2C7A
59,Mini Magnetic Tiles Dinosaur Travel Set,4.4,145,https://www.amazon.com/dp/B0GBSW515K
60,Hedgehog Interlocking Building Blocks,4.7,8020,https://www.amazon.com/dp/B01NAD9HD9
61,Ergonomic Wireless Keyboard and Mouse Combo with Wrist Rest,4.0,20,https://www.amazon.com/dp/B0GWXXT3MG
62,Ergonomic Wireless Keyboard and Mouse Combo Curved Split Keys,4.0,20,https://www.amazon.com/dp/B0GWXXT3MG
63,Memory Care Activities,4.0,1,https://www.amazon.com/dp/B0H87FS5D7
64,Cognitive Maze Board,3.0,2,https://www.amazon.com/dp/B0GX6X4V81
65,Fidget Busy Board for Adults with Dementia,5.0,2,https://www.amazon.com/dp/B0H4LMHPJY
66,Sensory Blanket for Autistic Autism/Adults with Dementia,4.4,573,https://www.amazon.com/dp/B0BR3Q5BXM
67,1500 Pieces Lightweight Rotating Plastic Puzzle,4.8,3202,https://www.amazon.com/dp/B0C7QFLV8L
68,1500 Pieces Rotating Plastic Puzzle Board with Drawers,4.8,3202,https://www.amazon.com/dp/B0C7QFLV8L
69,Large 70 Piece Dinosaur Floor Puzzles for Kids Ages 4-6,4.8,21,https://www.amazon.com/dp/B0FS1FPMVB
70,United States Puzzles for Kids,4.6,198,https://www.amazon.com/dp/B0F4QSHNW8
71,World Map & United States Puzzle,4.5,3494,https://www.amazon.com/dp/B08Y1HQ9K5
72,Princess & Unicorns Puzzles for Kids Ages 4 & up Year Old,4.6,321,https://www.amazon.com/dp/B0D11MMZ7R
73,Underwater World Puzzles for Kids Ages 4-8 Year Old,4.7,3369,https://www.amazon.com/dp/B0B6VR7WXN
74,"River Oasis ""Calming"" Lamp",4.2,840,https://www.amazon.com/dp/B0CNDHXTXV
76,White Noise Bluetooth Galaxy Light,4.3,2289,https://www.amazon.com/dp/B0FQJNY4RD
78,Northern Lights Projector Mood Lighting,4.0,219,https://www.amazon.com/dp/B0GBRG83PT
81,"Sensory Toy for ADD, OCD, Autistic Children, Adults, Anxiety Autism to Stress Relief and Anti Anxiety",5.0,1,https://www.amazon.com/dp/B0HB9VS6HZ
82,Straw Constructor Toys Stem Building Toys,4.7,5568,https://www.amazon.com/dp/B01DLKCCBU
83,Snowflake Interlocking Building Block,4.5,453,https://www.amazon.com/dp/B09NPWCKF6
84,Magnetic Blocks Magnetic Building Blocks Sensory Toys for Kids,4.7,1231,https://www.amazon.com/dp/B0DSBQ58W7
85,Magnetic Building Sticks Blocks Toys,4.7,1754,https://www.amazon.com/dp/B08R77NL48
86,Building Toy Building Blocks Bars,4.4,59,https://www.amazon.com/dp/B0C5CDJ6K2
87,Design and Drill Toy,4.6,3959,https://www.amazon.com/dp/B07Q2XKDWH
88,Create A Dinosaur World Road Race,4.5,4267,https://www.amazon.com/dp/B08PB394JT
89,Construction Race Tracks,4.5,310,https://www.amazon.com/dp/B0FF9KDFYQ
90,Dinosaur Toys Magnetic Tiles,4.7,1148,https://www.amazon.com/dp/B0D3D61QS9
91,Magnetic Tiles,4.6,2074,https://www.amazon.com/dp/B0D8JGLTYT
92,Big Fat Pens Aids Writing,4.2,1076,https://www.amazon.com/dp/B0CLZNTJM7
93,Foam Grip Tubing,4.2,99,https://www.amazon.com/dp/B0F5GQLXPW
94,Universal Holder Strap,4.2,25,https://www.amazon.com/dp/B0F5LS8PTS
95,Universal Holder Strap for utensils,3.8,180,https://www.amazon.com/dp/B0B7HC7MQD
96,Button Hook and Zipper Pull One Hand Buttons aids,4.6,5852,https://www.amazon.com/dp/B07B6RSVH7
98,Auto Electric Can Opener,3.8,115,https://www.amazon.com/dp/B0F8NSP35B
99,Jar Opener for Weak Hands,4.6,28655,https://www.amazon.com/dp/B000X6K9J8
100,Jar Opener Bottle and Can Opener for Weak hands,4.1,52,https://www.amazon.com/dp/B0FLZL8NL8
101,Key Turner Aid,4.2,2328,https://www.amazon.com/dp/B08NDN5R1P
102,Web Space Opener Pencil Grip,4.0,89,https://www.amazon.com/dp/B0BXNKBFL1
103,Squishy Pencil Soft Grip,4.3,225,https://www.amazon.com/dp/B09Z2WBH2L
104,Pencil Grips for Handwriting,4.5,5567,https://www.amazon.com/dp/B07PDPQKFT
105,2-Packs Grabber Reacher Tool,4.5,499,https://www.amazon.com/dp/B09T8K62FC
106,2-Pack Featherweight Reachers,4.6,24315,https://www.amazon.com/dp/B00UZHYXHO
107,3 fingers Ergonomic Pencil Grips,4.5,313,https://www.amazon.com/dp/B0CZS4Z7FM
108,6-Pack Pencil Weights,4.6,11,https://www.amazon.com/dp/B0FS7NT8C4
109,Handwriting Grasping Pencil or Pen Holders,4.4,500,https://www.amazon.com/dp/B0CYZGFLZ2
110,6 Pcs Pencil Weights,4.4,118,https://www.amazon.com/dp/B0FPC8CBR8
111,Sensory Fidget Toys for Kids,4.9,18,https://www.amazon.com/dp/B0FMF85T3J
112,Sensory Fidget Toys for Kids/Teens/Adults,4.9,18,https://www.amazon.com/dp/B0FMF85T3J
113,Chew Necklace for Sensory Kids,4.7,870,https://www.amazon.com/dp/B0CFKS9GL1
114,Chew Necklaces Sensory for Girls,4.6,1717,https://www.amazon.com/dp/B099WJRF85
115,Chew Sensory Necklaces for Boys,4.6,1892,https://www.amazon.com/dp/B0CG1CD1CC
116,Teething Sticks for Babies/Infants/Toddlers,4.7,870,https://www.amazon.com/dp/B0CFKS9GL1
117,Sensory Chew Toys for Autistic Children,4.6,1861,https://www.amazon.com/dp/B0D2GXMTJ2
118,5 Pounds Weighted Blanket Kids,4.7,494,https://www.amazon.com/dp/B0FP4MGCDH
119,Kids Weighted 5lbs Blanket,4.7,2129,https://www.amazon.com/dp/B09W58SLLN
120,Microwavable Weighted Stuffed Bunny,4.5,1233,https://www.amazon.com/dp/B0F5WNKNB9
121,Microwavable Weighted Stuffed Unisex,4.5,1233,https://www.amazon.com/dp/B0F5WNKNB9
122,Microwavable Weighted Stuffed Bunny,4.5,1233,https://www.amazon.com/dp/B0F5WNKNB9
124,Wearable Hooded Blanket,4.7,2969,https://www.amazon.com/dp/B09Z97T8TP
125,Sensory Max Liquidator Water Blaster Set,4.0,31,https://www.amazon.com/dp/B00647GWP0
126,Construction Toys with Electric Drill,4.6,272,https://www.amazon.com/dp/B0FKT2MJ2W
